marks,year,caste,list,College,cutoff,result
83,2021,OBC,1st,D.G.Ruparel,75,1
43,2021,SC,1st,D.G.Ruparel,44,0
63,2021,NT-C,1st,D.G.Ruparel,77,0
38,2021,NT-B,1st,D.G.Ruparel,60,0
50,2021,ST,1st,D.G.Ruparel,74,0
72,2021,OBC,1st,D.G.Ruparel,75,0
84,2021,SC,1st,D.G.Ruparel,44,1
57,2021,NT-B,1st,D.G.Ruparel,60,0
53,2021,SC,1st,D.G.Ruparel,44,1
70,2021,ST,1st,D.G.Ruparel,74,0
98,2021,NT-B,1st,D.G.Ruparel,60,1
38,2021,Open,1st,D.G.Ruparel,85,0
48,2021,OBC,1st,D.G.Ruparel,75,0
45,2021,NT-C,1st,D.G.Ruparel,77,0
60,2021,ST,1st,D.G.Ruparel,74,0
87,2021,NT-C,1st,D.G.Ruparel,77,1
69,2021,NT-B,1st,D.G.Ruparel,60,1
69,2021,NT-C,1st,D.G.Ruparel,77,0
45,2021,NT-B,1st,D.G.Ruparel,60,0
47,2021,SC,1st,D.G.Ruparel,44,1
46,2021,Open,1st,D.G.Ruparel,85,0
70,2021,Open,1st,D.G.Ruparel,85,0
61,2021,ST,1st,D.G.Ruparel,74,0
74,2021,SC,1st,D.G.Ruparel,44,1
62,2021,NT-B,1st,D.G.Ruparel,60,1
88,2021,NT-B,1st,D.G.Ruparel,60,1
40,2021,ST,1st,D.G.Ruparel,74,0
51,2021,NT-B,1st,D.G.Ruparel,60,0
56,2021,ST,1st,D.G.Ruparel,74,0
77,2021,NT-B,1st,D.G.Ruparel,60,1
88,2021,NT-B,1st,D.G.Ruparel,60,1
61,2021,SC,1st,D.G.Ruparel,44,1
50,2021,SC,1st,D.G.Ruparel,44,1
59,2021,NT-B,1st,D.G.Ruparel,60,0
60,2021,SC,1st,D.G.Ruparel,44,1
72,2021,OBC,1st,D.G.Ruparel,75,0
94,2021,OBC,1st,D.G.Ruparel,75,1
57,2021,Open,1st,D.G.Ruparel,85,0
80,2021,SC,1st,D.G.Ruparel,44,1
95,2021,OBC,1st,D.G.Ruparel,75,1
76,2021,Open,1st,D.G.Ruparel,85,0
71,2021,SC,1st,D.G.Ruparel,44,1
36,2021,ST,1st,D.G.Ruparel,74,0
45,2021,NT-C,1st,D.G.Ruparel,77,0
39,2021,Open,1st,D.G.Ruparel,85,0
61,2021,Open,1st,D.G.Ruparel,85,0
63,2021,NT-B,1st,D.G.Ruparel,60,1
77,2021,SC,1st,D.G.Ruparel,44,1
62,2021,SC,1st,D.G.Ruparel,44,1
91,2021,SC,1st,D.G.Ruparel,44,1
58,2021,Open,1st,D.G.Ruparel,85,0
58,2021,NT-B,1st,D.G.Ruparel,60,0
90,2021,SC,1st,D.G.Ruparel,44,1
41,2021,OBC,1st,D.G.Ruparel,75,0
43,2021,Open,1st,D.G.Ruparel,85,0
97,2021,Open,1st,D.G.Ruparel,85,1
44,2021,SC,1st,D.G.Ruparel,44,0
95,2021,ST,1st,D.G.Ruparel,74,1
98,2021,Open,1st,D.G.Ruparel,85,1
55,2021,NT-B,1st,D.G.Ruparel,60,0
82,2021,NT-C,1st,D.G.Ruparel,77,1
81,2021,NT-C,1st,D.G.Ruparel,77,1
80,2021,ST,1st,D.G.Ruparel,74,1
86,2021,Open,1st,D.G.Ruparel,85,1
75,2021,ST,1st,D.G.Ruparel,74,1
51,2021,ST,1st,D.G.Ruparel,74,0
85,2021,ST,1st,D.G.Ruparel,74,1
44,2021,NT-C,1st,D.G.Ruparel,77,0
59,2021,NT-B,1st,D.G.Ruparel,60,0
66,2021,NT-C,1st,D.G.Ruparel,77,0
66,2021,OBC,1st,D.G.Ruparel,75,0
43,2021,ST,1st,D.G.Ruparel,74,0
56,2021,NT-B,1st,D.G.Ruparel,60,0
37,2021,SC,1st,D.G.Ruparel,44,0
42,2021,NT-C,1st,D.G.Ruparel,77,0
99,2021,SC,1st,D.G.Ruparel,44,1
94,2021,OBC,1st,D.G.Ruparel,75,1
65,2021,NT-B,1st,D.G.Ruparel,60,1
72,2021,NT-C,1st,D.G.Ruparel,77,0
50,2021,NT-B,1st,D.G.Ruparel,60,0
82,2021,NT-B,1st,D.G.Ruparel,60,1
51,2021,Open,1st,D.G.Ruparel,85,0
100,2021,SC,1st,D.G.Ruparel,44,1
76,2021,ST,1st,D.G.Ruparel,74,1
71,2021,NT-B,1st,D.G.Ruparel,60,1
56,2021,NT-B,1st,D.G.Ruparel,60,0
70,2021,Open,1st,D.G.Ruparel,85,0
97,2021,NT-B,1st,D.G.Ruparel,60,1
61,2021,SC,1st,D.G.Ruparel,44,1
85,2021,OBC,1st,D.G.Ruparel,75,1
62,2021,ST,1st,D.G.Ruparel,74,0
97,2021,OBC,1st,D.G.Ruparel,75,1
36,2021,Open,1st,D.G.Ruparel,85,0
80,2021,SC,1st,D.G.Ruparel,44,1
45,2021,NT-B,1st,D.G.Ruparel,60,0
56,2021,NT-C,1st,D.G.Ruparel,77,0
82,2021,SC,1st,D.G.Ruparel,44,1
71,2021,ST,1st,D.G.Ruparel,74,0
45,2021,NT-B,1st,D.G.Ruparel,60,0
41,2021,OBC,1st,D.G.Ruparel,75,0
48,2021,NT-C,1st,D.G.Ruparel,77,0
42,2021,OBC,1st,D.G.Ruparel,75,0
99,2021,ST,1st,D.G.Ruparel,74,1
65,2021,SC,1st,D.G.Ruparel,44,1
49,2021,OBC,1st,D.G.Ruparel,75,0
49,2021,Open,1st,D.G.Ruparel,85,0
97,2021,NT-B,1st,D.G.Ruparel,60,1
77,2021,NT-B,1st,D.G.Ruparel,60,1
59,2021,Open,1st,D.G.Ruparel,85,0
77,2021,NT-B,1st,D.G.Ruparel,60,1
87,2021,OBC,1st,D.G.Ruparel,75,1
55,2021,ST,1st,D.G.Ruparel,74,0
94,2021,NT-B,1st,D.G.Ruparel,60,1
79,2021,SC,1st,D.G.Ruparel,44,1
93,2021,SC,1st,D.G.Ruparel,44,1
78,2021,ST,1st,D.G.Ruparel,74,1
94,2021,OBC,1st,D.G.Ruparel,75,1
100,2021,ST,1st,D.G.Ruparel,74,1
71,2021,Open,1st,D.G.Ruparel,85,0
46,2021,SC,1st,D.G.Ruparel,44,1
83,2021,ST,1st,D.G.Ruparel,74,1
72,2021,OBC,1st,D.G.Ruparel,75,0
71,2021,Open,1st,D.G.Ruparel,85,0
80,2021,ST,1st,D.G.Ruparel,74,1
80,2021,NT-B,1st,D.G.Ruparel,60,1
65,2021,SC,1st,D.G.Ruparel,44,1
59,2021,ST,1st,D.G.Ruparel,74,0
74,2021,NT-B,1st,D.G.Ruparel,60,1
74,2021,OBC,1st,D.G.Ruparel,75,0
47,2021,Open,1st,D.G.Ruparel,85,0
58,2021,NT-C,1st,D.G.Ruparel,77,0
77,2021,SC,1st,D.G.Ruparel,44,1
58,2021,Open,1st,D.G.Ruparel,85,0
40,2021,Open,1st,D.G.Ruparel,85,0
36,2021,ST,1st,D.G.Ruparel,74,0
64,2021,SC,1st,D.G.Ruparel,44,1
48,2021,SC,1st,D.G.Ruparel,44,1
92,2021,Open,1st,D.G.Ruparel,85,1
85,2021,OBC,1st,D.G.Ruparel,75,1
72,2021,NT-C,1st,D.G.Ruparel,77,0
75,2021,ST,1st,D.G.Ruparel,74,1
98,2021,ST,1st,D.G.Ruparel,74,1
79,2021,SC,1st,D.G.Ruparel,44,1
90,2021,ST,1st,D.G.Ruparel,74,1
39,2021,OBC,1st,D.G.Ruparel,75,0
100,2021,ST,1st,D.G.Ruparel,74,1
45,2021,SC,1st,D.G.Ruparel,44,1
66,2021,OBC,1st,D.G.Ruparel,75,0
85,2021,SC,1st,D.G.Ruparel,44,1
73,2021,SC,1st,D.G.Ruparel,44,1
100,2021,NT-C,1st,D.G.Ruparel,77,1
61,2021,Open,1st,D.G.Ruparel,85,0
89,2021,ST,1st,D.G.Ruparel,74,1
73,2021,Open,1st,D.G.Ruparel,85,0
79,2021,NT-B,1st,D.G.Ruparel,60,1
92,2021,Open,1st,D.G.Ruparel,85,1
72,2021,NT-B,1st,D.G.Ruparel,60,1
63,2021,ST,1st,D.G.Ruparel,74,0
58,2021,SC,1st,D.G.Ruparel,44,1
51,2021,Open,1st,D.G.Ruparel,85,0
90,2021,ST,1st,D.G.Ruparel,74,1
98,2021,SC,1st,D.G.Ruparel,44,1
67,2021,Open,1st,D.G.Ruparel,85,0
40,2021,Open,1st,D.G.Ruparel,85,0
87,2021,NT-C,1st,D.G.Ruparel,77,1
53,2021,Open,1st,D.G.Ruparel,85,0
39,2021,NT-C,1st,D.G.Ruparel,77,0
91,2021,OBC,1st,D.G.Ruparel,75,1
60,2021,NT-C,1st,D.G.Ruparel,77,0
59,2021,Open,1st,D.G.Ruparel,85,0
76,2021,NT-B,1st,D.G.Ruparel,60,1
40,2021,SC,1st,D.G.Ruparel,44,0
68,2021,OBC,1st,D.G.Ruparel,75,0
59,2021,Open,1st,D.G.Ruparel,85,0
78,2021,OBC,1st,D.G.Ruparel,75,1
62,2021,NT-B,1st,D.G.Ruparel,60,1
92,2021,ST,1st,D.G.Ruparel,74,1
67,2021,ST,1st,D.G.Ruparel,74,0
96,2021,ST,1st,D.G.Ruparel,74,1
40,2021,NT-C,1st,D.G.Ruparel,77,0
81,2021,Open,1st,D.G.Ruparel,85,0
49,2021,NT-C,1st,D.G.Ruparel,77,0
63,2021,ST,1st,D.G.Ruparel,74,0
98,2021,ST,1st,D.G.Ruparel,74,1
96,2021,SC,1st,D.G.Ruparel,44,1
56,2021,ST,1st,D.G.Ruparel,74,0
80,2021,Open,1st,D.G.Ruparel,85,0
56,2021,Open,1st,D.G.Ruparel,85,0
35,2021,OBC,1st,D.G.Ruparel,75,0
68,2021,ST,1st,D.G.Ruparel,74,0
96,2021,NT-B,1st,D.G.Ruparel,60,1
44,2021,ST,1st,D.G.Ruparel,74,0
98,2021,ST,1st,D.G.Ruparel,74,1
80,2021,SC,1st,D.G.Ruparel,44,1
71,2021,NT-C,1st,D.G.Ruparel,77,0
88,2021,NT-C,1st,D.G.Ruparel,77,1
69,2021,ST,1st,D.G.Ruparel,74,0
85,2021,Open,1st,D.G.Ruparel,85,0
82,2021,NT-C,1st,D.G.Ruparel,77,1
45,2021,NT-B,1st,D.G.Ruparel,60,0
47,2021,NT-B,1st,D.G.Ruparel,60,0
83,2021,Open,1st,D.G.Ruparel,85,0
93,2021,SC,1st,D.G.Ruparel,44,1
99,2021,SC,1st,D.G.Ruparel,44,1
71,2021,NT-B,1st,D.G.Ruparel,60,1
55,2021,NT-C,1st,D.G.Ruparel,77,0
56,2021,SC,1st,D.G.Ruparel,44,1
55,2021,OBC,1st,D.G.Ruparel,75,0
43,2021,OBC,1st,D.G.Ruparel,75,0
86,2021,OBC,1st,D.G.Ruparel,75,1
58,2021,SC,1st,D.G.Ruparel,44,1
69,2021,NT-C,1st,D.G.Ruparel,77,0
93,2021,ST,1st,D.G.Ruparel,74,1
81,2021,OBC,1st,D.G.Ruparel,75,1
39,2021,NT-B,1st,D.G.Ruparel,60,0
58,2021,OBC,1st,D.G.Ruparel,75,0
81,2021,NT-B,1st,D.G.Ruparel,60,1
82,2021,OBC,1st,D.G.Ruparel,75,1
61,2021,NT-B,1st,D.G.Ruparel,60,1
95,2021,Open,1st,D.G.Ruparel,85,1
79,2021,SC,1st,D.G.Ruparel,44,1
92,2021,SC,1st,D.G.Ruparel,44,1
75,2021,SC,1st,D.G.Ruparel,44,1
81,2021,SC,1st,D.G.Ruparel,44,1
52,2021,Open,1st,D.G.Ruparel,85,0
58,2021,NT-C,1st,D.G.Ruparel,77,0
87,2021,NT-C,1st,D.G.Ruparel,77,1
98,2021,OBC,1st,D.G.Ruparel,75,1
92,2021,NT-C,1st,D.G.Ruparel,77,1
39,2021,NT-C,1st,D.G.Ruparel,77,0
97,2021,SC,1st,D.G.Ruparel,44,1
35,2021,SC,1st,D.G.Ruparel,44,0
61,2021,NT-B,1st,D.G.Ruparel,60,1
41,2021,OBC,1st,D.G.Ruparel,75,0
50,2021,ST,1st,D.G.Ruparel,74,0
89,2021,ST,1st,D.G.Ruparel,74,1
77,2021,Open,1st,D.G.Ruparel,85,0
44,2021,NT-C,1st,D.G.Ruparel,77,0
71,2021,ST,1st,D.G.Ruparel,74,0
56,2021,SC,1st,D.G.Ruparel,44,1
63,2021,ST,1st,D.G.Ruparel,74,0
35,2021,NT-B,1st,D.G.Ruparel,60,0
75,2021,NT-B,1st,D.G.Ruparel,60,1
78,2021,NT-B,1st,D.G.Ruparel,60,1
73,2021,Open,1st,D.G.Ruparel,85,0
55,2021,Open,1st,D.G.Ruparel,85,0
37,2021,NT-B,1st,D.G.Ruparel,60,0
90,2021,SC,1st,D.G.Ruparel,44,1
81,2021,OBC,1st,D.G.Ruparel,75,1
61,2021,SC,1st,D.G.Ruparel,44,1
53,2021,SC,1st,D.G.Ruparel,44,1
83,2021,ST,1st,D.G.Ruparel,74,1
87,2021,ST,1st,D.G.Ruparel,74,1
37,2021,OBC,1st,D.G.Ruparel,75,0
47,2021,Open,1st,D.G.Ruparel,85,0
82,2021,NT-B,1st,D.G.Ruparel,60,1
78,2021,Open,1st,D.G.Ruparel,85,0
71,2021,NT-C,1st,D.G.Ruparel,77,0
53,2021,NT-C,1st,D.G.Ruparel,77,0
41,2021,NT-C,1st,D.G.Ruparel,77,0
38,2021,NT-B,1st,D.G.Ruparel,60,0
75,2021,OBC,1st,D.G.Ruparel,75,0
83,2021,ST,1st,D.G.Ruparel,74,1
76,2021,OBC,1st,D.G.Ruparel,75,1
62,2021,SC,1st,D.G.Ruparel,44,1
90,2021,OBC,1st,D.G.Ruparel,75,1
94,2021,OBC,1st,D.G.Ruparel,75,1
97,2021,NT-C,1st,D.G.Ruparel,77,1
95,2021,SC,1st,D.G.Ruparel,44,1
54,2021,OBC,1st,D.G.Ruparel,75,0
43,2021,ST,1st,D.G.Ruparel,74,0
83,2021,SC,1st,D.G.Ruparel,44,1
83,2021,NT-C,1st,D.G.Ruparel,77,1
95,2021,Open,1st,D.G.Ruparel,85,1
88,2021,Open,1st,D.G.Ruparel,85,1
76,2021,NT-C,1st,D.G.Ruparel,77,0
67,2021,SC,1st,D.G.Ruparel,44,1
100,2021,NT-C,1st,D.G.Ruparel,77,1
89,2021,ST,1st,D.G.Ruparel,74,1
87,2021,Open,1st,D.G.Ruparel,85,1
100,2021,ST,1st,D.G.Ruparel,74,1
49,2021,NT-B,1st,D.G.Ruparel,60,0
81,2021,Open,1st,D.G.Ruparel,85,0
44,2021,NT-C,1st,D.G.Ruparel,77,0
95,2021,ST,1st,D.G.Ruparel,74,1
91,2021,NT-C,1st,D.G.Ruparel,77,1
49,2021,Open,1st,D.G.Ruparel,85,0
51,2021,NT-C,1st,D.G.Ruparel,77,0
42,2021,SC,1st,D.G.Ruparel,44,0
44,2021,Open,1st,D.G.Ruparel,85,0
55,2021,Open,1st,D.G.Ruparel,85,0
61,2021,OBC,1st,D.G.Ruparel,75,0
44,2021,NT-B,1st,D.G.Ruparel,60,0
89,2021,NT-C,1st,D.G.Ruparel,77,1
58,2021,NT-C,1st,D.G.Ruparel,77,0
86,2021,ST,1st,D.G.Ruparel,74,1
39,2021,SC,1st,D.G.Ruparel,44,0
47,2021,ST,1st,D.G.Ruparel,74,0
37,2021,ST,1st,D.G.Ruparel,74,0
75,2021,SC,1st,D.G.Ruparel,44,1
70,2021,NT-B,1st,D.G.Ruparel,60,1
53,2021,NT-C,1st,D.G.Ruparel,77,0
39,2021,Open,1st,D.G.Ruparel,85,0
95,2021,ST,1st,D.G.Ruparel,74,1
36,2021,NT-C,1st,D.G.Ruparel,77,0
52,2021,SC,1st,D.G.Ruparel,44,1
62,2021,OBC,1st,D.G.Ruparel,75,0
90,2021,NT-B,1st,D.G.Ruparel,60,1
80,2021,NT-B,1st,D.G.Ruparel,60,1
96,2021,NT-C,1st,D.G.Ruparel,77,1
45,2021,NT-C,1st,D.G.Ruparel,77,0
74,2021,SC,1st,D.G.Ruparel,44,1
100,2021,SC,1st,D.G.Ruparel,44,1
63,2021,ST,1st,D.G.Ruparel,74,0
97,2021,SC,1st,D.G.Ruparel,44,1
62,2021,OBC,1st,D.G.Ruparel,75,0
85,2021,OBC,1st,D.G.Ruparel,75,1
62,2021,NT-C,1st,D.G.Ruparel,77,0
54,2021,NT-C,1st,D.G.Ruparel,77,0
99,2021,OBC,1st,D.G.Ruparel,75,1
81,2021,SC,1st,D.G.Ruparel,44,1
96,2021,OBC,1st,D.G.Ruparel,75,1
83,2021,SC,1st,D.G.Ruparel,44,1
81,2021,SC,1st,D.G.Ruparel,44,1
100,2021,OBC,1st,D.G.Ruparel,75,1
91,2021,SC,1st,D.G.Ruparel,44,1
100,2021,OBC,1st,D.G.Ruparel,75,1
70,2021,ST,1st,D.G.Ruparel,74,0
67,2021,SC,1st,D.G.Ruparel,44,1
51,2021,OBC,1st,D.G.Ruparel,75,0
72,2021,OBC,1st,D.G.Ruparel,75,0
37,2021,SC,1st,D.G.Ruparel,44,0
62,2021,NT-C,1st,D.G.Ruparel,77,0
74,2021,SC,1st,D.G.Ruparel,44,1
95,2021,NT-B,1st,D.G.Ruparel,60,1
84,2021,NT-B,1st,D.G.Ruparel,60,1
81,2021,NT-B,1st,D.G.Ruparel,60,1
86,2021,NT-B,1st,D.G.Ruparel,60,1
48,2021,OBC,1st,D.G.Ruparel,75,0
39,2021,ST,1st,D.G.Ruparel,74,0
65,2021,NT-C,1st,D.G.Ruparel,77,0
95,2021,ST,1st,D.G.Ruparel,74,1
38,2021,SC,1st,D.G.Ruparel,44,0
84,2021,ST,1st,D.G.Ruparel,74,1
80,2021,NT-C,1st,D.G.Ruparel,77,1
82,2021,Open,1st,D.G.Ruparel,85,0
95,2021,NT-B,1st,D.G.Ruparel,60,1
73,2021,NT-B,1st,D.G.Ruparel,60,1
85,2021,SC,1st,D.G.Ruparel,44,1
95,2021,Open,1st,D.G.Ruparel,85,1
39,2021,OBC,1st,D.G.Ruparel,75,0
45,2021,NT-B,1st,D.G.Ruparel,60,0
65,2021,NT-B,1st,D.G.Ruparel,60,1
79,2021,NT-B,1st,D.G.Ruparel,60,1
63,2021,SC,1st,D.G.Ruparel,44,1
98,2021,NT-C,1st,D.G.Ruparel,77,1
82,2021,NT-B,1st,D.G.Ruparel,60,1
66,2021,NT-B,1st,D.G.Ruparel,60,1
41,2021,SC,1st,D.G.Ruparel,44,0
84,2021,Open,1st,D.G.Ruparel,85,0
73,2021,OBC,1st,D.G.Ruparel,75,0
74,2021,NT-C,1st,D.G.Ruparel,77,0
61,2021,NT-B,1st,D.G.Ruparel,60,1
62,2021,NT-B,1st,D.G.Ruparel,60,1
77,2021,NT-C,1st,D.G.Ruparel,77,0
44,2021,NT-C,2nd,D.G.Ruparel,77,0
80,2021,NT-C,2nd,D.G.Ruparel,77,1
72,2021,NT-B,2nd,D.G.Ruparel,60,1
44,2021,NT-C,2nd,D.G.Ruparel,77,0
47,2021,NT-B,2nd,D.G.Ruparel,60,0
100,2021,NT-B,2nd,D.G.Ruparel,60,1
77,2021,Open,2nd,D.G.Ruparel,82,0
93,2021,NT-B,2nd,D.G.Ruparel,60,1
93,2021,NT-B,2nd,D.G.Ruparel,60,1
47,2021,OBC,2nd,D.G.Ruparel,59,0
77,2021,NT-C,2nd,D.G.Ruparel,77,0
99,2021,NT-B,2nd,D.G.Ruparel,60,1
53,2021,ST,2nd,D.G.Ruparel,74,0
94,2021,OBC,2nd,D.G.Ruparel,59,1
74,2021,Open,2nd,D.G.Ruparel,82,0
74,2021,Open,2nd,D.G.Ruparel,82,0
88,2021,Open,2nd,D.G.Ruparel,82,1
52,2021,ST,2nd,D.G.Ruparel,74,0
86,2021,NT-C,2nd,D.G.Ruparel,77,1
89,2021,NT-B,2nd,D.G.Ruparel,60,1
43,2021,NT-B,2nd,D.G.Ruparel,60,0
79,2021,Open,2nd,D.G.Ruparel,82,0
86,2021,SC,2nd,D.G.Ruparel,44,1
36,2021,NT-B,2nd,D.G.Ruparel,60,0
93,2021,SC,2nd,D.G.Ruparel,44,1
48,2021,OBC,2nd,D.G.Ruparel,59,0
56,2021,NT-B,2nd,D.G.Ruparel,60,0
65,2021,Open,2nd,D.G.Ruparel,82,0
98,2021,Open,2nd,D.G.Ruparel,82,1
49,2021,ST,2nd,D.G.Ruparel,74,0
76,2021,NT-B,2nd,D.G.Ruparel,60,1
95,2021,SC,2nd,D.G.Ruparel,44,1
40,2021,SC,2nd,D.G.Ruparel,44,0
71,2021,Open,2nd,D.G.Ruparel,82,0
80,2021,NT-C,2nd,D.G.Ruparel,77,1
52,2021,NT-B,2nd,D.G.Ruparel,60,0
85,2021,NT-B,2nd,D.G.Ruparel,60,1
74,2021,OBC,2nd,D.G.Ruparel,59,1
64,2021,OBC,2nd,D.G.Ruparel,59,1
75,2021,NT-C,2nd,D.G.Ruparel,77,0
41,2021,ST,2nd,D.G.Ruparel,74,0
86,2021,ST,2nd,D.G.Ruparel,74,1
99,2021,NT-B,2nd,D.G.Ruparel,60,1
50,2021,NT-B,2nd,D.G.Ruparel,60,0
68,2021,SC,2nd,D.G.Ruparel,44,1
77,2021,Open,2nd,D.G.Ruparel,82,0
73,2021,OBC,2nd,D.G.Ruparel,59,1
96,2021,NT-B,2nd,D.G.Ruparel,60,1
42,2021,SC,2nd,D.G.Ruparel,44,0
44,2021,NT-B,2nd,D.G.Ruparel,60,0
76,2021,Open,2nd,D.G.Ruparel,82,0
83,2021,NT-B,2nd,D.G.Ruparel,60,1
56,2021,SC,2nd,D.G.Ruparel,44,1
37,2021,SC,2nd,D.G.Ruparel,44,0
65,2021,OBC,2nd,D.G.Ruparel,59,1
43,2021,NT-C,2nd,D.G.Ruparel,77,0
39,2021,SC,2nd,D.G.Ruparel,44,0
63,2021,SC,2nd,D.G.Ruparel,44,1
90,2021,OBC,2nd,D.G.Ruparel,59,1
35,2021,OBC,2nd,D.G.Ruparel,59,0
74,2021,ST,2nd,D.G.Ruparel,74,0
58,2021,NT-C,2nd,D.G.Ruparel,77,0
69,2021,SC,2nd,D.G.Ruparel,44,1
88,2021,NT-C,2nd,D.G.Ruparel,77,1
83,2021,OBC,2nd,D.G.Ruparel,59,1
80,2021,ST,2nd,D.G.Ruparel,74,1
89,2021,NT-B,2nd,D.G.Ruparel,60,1
75,2021,NT-B,2nd,D.G.Ruparel,60,1
78,2021,NT-B,2nd,D.G.Ruparel,60,1
60,2021,Open,2nd,D.G.Ruparel,82,0
37,2021,OBC,2nd,D.G.Ruparel,59,0
82,2021,NT-C,2nd,D.G.Ruparel,77,1
35,2021,NT-B,2nd,D.G.Ruparel,60,0
63,2021,ST,2nd,D.G.Ruparel,74,0
52,2021,SC,2nd,D.G.Ruparel,44,1
84,2021,ST,2nd,D.G.Ruparel,74,1
82,2021,SC,2nd,D.G.Ruparel,44,1
74,2021,NT-C,2nd,D.G.Ruparel,77,0
56,2021,SC,2nd,D.G.Ruparel,44,1
39,2021,NT-B,2nd,D.G.Ruparel,60,0
70,2021,NT-C,2nd,D.G.Ruparel,77,0
44,2021,NT-C,2nd,D.G.Ruparel,77,0
85,2021,Open,2nd,D.G.Ruparel,82,1
65,2021,OBC,2nd,D.G.Ruparel,59,1
71,2021,ST,2nd,D.G.Ruparel,74,0
84,2021,SC,2nd,D.G.Ruparel,44,1
50,2021,NT-C,2nd,D.G.Ruparel,77,0
59,2021,NT-B,2nd,D.G.Ruparel,60,0
79,2021,OBC,2nd,D.G.Ruparel,59,1
79,2021,Open,2nd,D.G.Ruparel,82,0
95,2021,OBC,2nd,D.G.Ruparel,59,1
68,2021,NT-C,2nd,D.G.Ruparel,77,0
37,2021,SC,2nd,D.G.Ruparel,44,0
77,2021,ST,2nd,D.G.Ruparel,74,1
100,2021,NT-B,2nd,D.G.Ruparel,60,1
35,2021,OBC,2nd,D.G.Ruparel,59,0
41,2021,ST,2nd,D.G.Ruparel,74,0
60,2021,NT-C,2nd,D.G.Ruparel,77,0
94,2021,NT-B,2nd,D.G.Ruparel,60,1
77,2021,SC,2nd,D.G.Ruparel,44,1
59,2021,Open,2nd,D.G.Ruparel,82,0
50,2021,NT-B,2nd,D.G.Ruparel,60,0
37,2021,OBC,2nd,D.G.Ruparel,59,0
100,2021,NT-B,2nd,D.G.Ruparel,60,1
40,2021,OBC,2nd,D.G.Ruparel,59,0
68,2021,Open,2nd,D.G.Ruparel,82,0
85,2021,SC,2nd,D.G.Ruparel,44,1
48,2021,OBC,2nd,D.G.Ruparel,59,0
35,2021,NT-B,2nd,D.G.Ruparel,60,0
75,2021,ST,2nd,D.G.Ruparel,74,1
74,2021,NT-B,2nd,D.G.Ruparel,60,1
57,2021,ST,2nd,D.G.Ruparel,74,0
64,2021,SC,2nd,D.G.Ruparel,44,1
64,2021,OBC,2nd,D.G.Ruparel,59,1
42,2021,SC,2nd,D.G.Ruparel,44,0
64,2021,ST,2nd,D.G.Ruparel,74,0
49,2021,ST,2nd,D.G.Ruparel,74,0
69,2021,SC,2nd,D.G.Ruparel,44,1
96,2021,SC,2nd,D.G.Ruparel,44,1
99,2021,SC,2nd,D.G.Ruparel,44,1
53,2021,OBC,2nd,D.G.Ruparel,59,0
41,2021,ST,2nd,D.G.Ruparel,74,0
64,2021,OBC,2nd,D.G.Ruparel,59,1
49,2021,Open,2nd,D.G.Ruparel,82,0
88,2021,Open,2nd,D.G.Ruparel,82,1
94,2021,NT-C,2nd,D.G.Ruparel,77,1
85,2021,Open,2nd,D.G.Ruparel,82,1
92,2021,NT-C,2nd,D.G.Ruparel,77,1
91,2021,OBC,2nd,D.G.Ruparel,59,1
70,2021,Open,2nd,D.G.Ruparel,82,0
