marks,year,caste,list,cutoff,result
54,2021,VJ-A,1st,81,0
86,2021,EBC,1st,#N/A,#N/A
35,2021,Open,1st,85,0
96,2021,NT-C,1st,77,1
80,2021,NT-D,1st,44,1
99,2021,NT-B,1st,60,1
39,2021,VJ-A,1st,81,0
59,2021,ST,1st,74,0
83,2021,SC,1st,44,1
90,2021,SBC,1st,76,1
95,2021,VJ-A,1st,81,1
89,2021,EBC,1st,#N/A,#N/A
83,2021,SEBC,1st,#N/A,#N/A
45,2021,OBC,1st,75,0
68,2021,SC,1st,44,1
96,2021,NT-D,1st,44,1
92,2021,ST,1st,74,1
83,2021,OBC,1st,75,1
43,2021,SC,1st,44,0
46,2021,EBC,1st,#N/A,#N/A
58,2021,SEBC,1st,#N/A,#N/A
53,2021,EBC,1st,#N/A,#N/A
63,2021,NT-C,1st,77,0
38,2021,NT-B,1st,60,0
63,2021,VJ-A,1st,81,0
50,2021,ST,1st,74,0
57,2021,VJ-A,1st,81,0
72,2021,OBC,1st,75,0
71,2021,EBC,1st,#N/A,#N/A
45,2021,NT-D,1st,44,1
84,2021,SC,1st,44,1
57,2021,NT-B,1st,60,0
53,2021,SC,1st,44,1
54,2021,SEBC,1st,#N/A,#N/A
56,2021,SBC,1st,76,0
89,2021,SEBC,1st,#N/A,#N/A
70,2021,ST,1st,74,0
98,2021,NT-B,1st,60,1
79,2021,SBC,1st,76,1
38,2021,Open,1st,85,0
48,2021,OBC,1st,75,0
45,2021,NT-C,1st,77,0
60,2021,ST,1st,74,0
64,2021,VJ-A,1st,81,0
53,2021,SBC,1st,76,0
51,2021,SBC,1st,76,0
38,2021,VJ-A,1st,81,0
94,2021,SBC,1st,76,1
42,2021,SEBC,1st,#N/A,#N/A
67,2021,NT-D,1st,44,1
73,2021,VJ-A,1st,81,0
87,2021,NT-C,1st,77,1
40,2021,SEBC,1st,#N/A,#N/A
77,2021,SBC,1st,76,1
99,2021,SEBC,1st,#N/A,#N/A
69,2021,NT-B,1st,60,1
95,2021,VJ-A,1st,81,1
69,2021,NT-C,1st,77,0
45,2021,NT-B,1st,60,0
66,2021,NT-D,1st,44,1
78,2021,NT-D,1st,44,1
43,2021,SEBC,1st,#N/A,#N/A
42,2021,NT-D,1st,44,0
47,2021,SC,1st,44,1
46,2021,Open,1st,85,0
70,2021,Open,1st,85,0
78,2021,VJ-A,1st,81,0
61,2021,ST,1st,74,0
77,2021,SEBC,1st,#N/A,#N/A
74,2021,SC,1st,44,1
92,2021,VJ-A,1st,81,1
62,2021,NT-B,1st,60,1
51,2021,SBC,1st,76,0
88,2021,NT-B,1st,60,1
40,2021,ST,1st,74,0
55,2021,VJ-A,1st,81,0
51,2021,NT-B,1st,60,0
81,2021,EBC,1st,#N/A,#N/A
56,2021,ST,1st,74,0
100,2021,SEBC,1st,#N/A,#N/A
98,2021,EBC,1st,#N/A,#N/A
91,2021,EBC,1st,#N/A,#N/A
83,2021,SBC,1st,76,1
77,2021,NT-B,1st,60,1
54,2021,VJ-A,1st,81,0
57,2021,SEBC,1st,#N/A,#N/A
59,2021,SBC,1st,76,0
88,2021,NT-B,1st,60,1
61,2021,SC,1st,44,1
45,2021,SBC,1st,76,0
50,2021,SC,1st,44,1
59,2021,NT-B,1st,60,0
60,2021,SC,1st,44,1
72,2021,OBC,1st,75,0
79,2021,SBC,1st,76,1
94,2021,OBC,1st,75,1
37,2021,NT-D,1st,44,0
53,2021,EBC,1st,#N/A,#N/A
60,2021,SBC,1st,76,0
75,2021,VJ-A,1st,81,0
92,2021,EBC,1st,#N/A,#N/A
69,2021,VJ-A,1st,81,0
57,2021,Open,1st,85,0
80,2021,SC,1st,44,1
95,2021,OBC,1st,75,1
95,2021,VJ-A,1st,81,1
76,2021,Open,1st,85,0
78,2021,SBC,1st,76,1
83,2021,EBC,1st,#N/A,#N/A
52,2021,SEBC,1st,#N/A,#N/A
71,2021,SC,1st,44,1
36,2021,ST,1st,74,0
74,2021,EBC,1st,#N/A,#N/A
82,2021,SBC,1st,76,1
79,2021,VJ-A,1st,81,0
45,2021,NT-C,1st,77,0
39,2021,Open,1st,85,0
45,2021,EBC,1st,#N/A,#N/A
61,2021,Open,1st,85,0
63,2021,NT-B,1st,60,1
41,2021,NT-D,1st,44,0
94,2021,SEBC,1st,#N/A,#N/A
77,2021,SC,1st,44,1
62,2021,SC,1st,44,1
91,2021,SC,1st,44,1
98,2021,EBC,1st,#N/A,#N/A
58,2021,Open,1st,85,0
98,2021,SEBC,1st,#N/A,#N/A
38,2021,VJ-A,1st,81,0
61,2021,SEBC,1st,#N/A,#N/A
58,2021,NT-B,1st,60,0
90,2021,SC,1st,44,1
41,2021,OBC,1st,75,0
46,2021,SBC,1st,76,0
77,2021,NT-D,1st,44,1
79,2021,EBC,1st,#N/A,#N/A
85,2021,EBC,1st,#N/A,#N/A
43,2021,Open,1st,85,0
97,2021,Open,1st,85,1
44,2021,SC,1st,44,0
46,2021,SBC,1st,76,0
95,2021,ST,1st,74,1
98,2021,Open,1st,85,1
55,2021,NT-B,1st,60,0
95,2021,NT-D,1st,44,1
82,2021,NT-C,1st,77,1
100,2021,SEBC,1st,#N/A,#N/A
81,2021,NT-C,1st,77,1
80,2021,ST,1st,74,1
73,2021,EBC,1st,#N/A,#N/A
88,2021,SEBC,1st,#N/A,#N/A
86,2021,Open,1st,85,1
75,2021,ST,1st,74,1
51,2021,ST,1st,74,0
79,2021,VJ-A,1st,81,0
85,2021,ST,1st,74,1
66,2021,SBC,1st,76,0
94,2021,EBC,1st,#N/A,#N/A
73,2021,VJ-A,1st,81,0
44,2021,NT-C,1st,77,0
59,2021,NT-B,1st,60,0
73,2021,VJ-A,1st,81,0
79,2021,SEBC,1st,#N/A,#N/A
66,2021,NT-C,1st,77,0
66,2021,OBC,1st,75,0
84,2021,EBC,1st,#N/A,#N/A
43,2021,ST,1st,74,0
56,2021,NT-B,1st,60,0
37,2021,SC,1st,44,0
67,2021,VJ-A,1st,81,0
42,2021,NT-C,1st,77,0
83,2021,SEBC,1st,#N/A,#N/A
99,2021,SC,1st,44,1
100,2021,VJ-A,1st,81,1
94,2021,OBC,1st,75,1
96,2021,SBC,1st,76,1
39,2021,EBC,1st,#N/A,#N/A
65,2021,NT-B,1st,60,1
72,2021,NT-C,1st,77,0
50,2021,NT-B,1st,60,0
82,2021,NT-B,1st,60,1
51,2021,Open,1st,85,0
100,2021,SC,1st,44,1
83,2021,EBC,1st,#N/A,#N/A
76,2021,ST,1st,74,1
37,2021,SBC,1st,76,0
53,2021,SEBC,1st,#N/A,#N/A
52,2021,NT-D,1st,44,1
58,2021,SBC,1st,76,0
71,2021,NT-B,1st,60,1
58,2021,EBC,1st,#N/A,#N/A
56,2021,NT-B,1st,60,0
70,2021,Open,1st,85,0
93,2021,EBC,1st,#N/A,#N/A
99,2021,NT-D,1st,44,1
46,2021,NT-D,1st,44,1
97,2021,NT-B,1st,60,1
61,2021,SC,1st,44,1
85,2021,OBC,1st,75,1
62,2021,ST,1st,74,0
97,2021,OBC,1st,75,1
36,2021,Open,1st,85,0
80,2021,SC,1st,44,1
69,2021,VJ-A,1st,81,0
69,2021,SEBC,1st,#N/A,#N/A
36,2021,SBC,1st,76,0
35,2021,VJ-A,1st,81,0
68,2021,NT-D,1st,44,1
45,2021,NT-B,1st,60,0
49,2021,NT-D,1st,44,1
56,2021,NT-C,1st,77,0
40,2021,SEBC,1st,#N/A,#N/A
83,2021,NT-D,1st,44,1
53,2021,EBC,1st,#N/A,#N/A
54,2021,NT-D,1st,44,1
82,2021,SC,1st,44,1
71,2021,ST,1st,74,0
45,2021,NT-B,1st,60,0
41,2021,OBC,1st,75,0
41,2021,NT-D,1st,44,0
48,2021,NT-C,1st,77,0
35,2021,VJ-A,1st,81,0
74,2021,NT-D,1st,44,1
85,2021,SBC,1st,76,1
37,2021,SBC,1st,76,0
96,2021,VJ-A,1st,81,1
77,2021,NT-D,1st,44,1
92,2021,SBC,1st,76,1
42,2021,OBC,1st,75,0
81,2021,SEBC,1st,#N/A,#N/A
99,2021,ST,1st,74,1
75,2021,EBC,1st,#N/A,#N/A
39,2021,SBC,1st,76,0
75,2021,SEBC,1st,#N/A,#N/A
97,2021,NT-D,1st,44,1
50,2021,SBC,1st,76,0
65,2021,SC,1st,44,1
49,2021,OBC,1st,75,0
49,2021,Open,1st,85,0
78,2021,SEBC,1st,#N/A,#N/A
97,2021,NT-B,1st,60,1
59,2021,SBC,1st,76,0
56,2021,VJ-A,1st,81,0
77,2021,NT-B,1st,60,1
60,2021,SBC,1st,76,0
59,2021,Open,1st,85,0
92,2021,SBC,1st,76,1
95,2021,NT-D,1st,44,1
86,2021,NT-D,1st,44,1
54,2021,NT-D,1st,44,1
77,2021,NT-B,1st,60,1
92,2021,SEBC,1st,#N/A,#N/A
87,2021,OBC,1st,75,1
68,2021,VJ-A,1st,81,0
51,2021,EBC,1st,#N/A,#N/A
46,2021,NT-D,1st,44,1
55,2021,ST,1st,74,0
84,2021,SBC,1st,76,1
94,2021,NT-B,1st,60,1
79,2021,SC,1st,44,1
93,2021,SC,1st,44,1
96,2021,SEBC,1st,#N/A,#N/A
63,2021,SBC,1st,76,0
40,2021,SEBC,1st,#N/A,#N/A
67,2021,NT-D,1st,44,1
78,2021,ST,1st,74,1
94,2021,OBC,1st,75,1
100,2021,ST,1st,74,1
35,2021,EBC,1st,#N/A,#N/A
81,2021,SBC,1st,76,1
75,2021,VJ-A,1st,81,0
84,2021,SEBC,1st,#N/A,#N/A
95,2021,SEBC,1st,#N/A,#N/A
71,2021,Open,1st,85,0
38,2021,NT-D,1st,44,0
46,2021,SC,1st,44,1
65,2021,NT-D,1st,44,1
65,2021,NT-D,1st,44,1
83,2021,ST,1st,74,1
92,2021,EBC,1st,#N/A,#N/A
56,2021,SBC,1st,76,0
42,2021,SEBC,1st,#N/A,#N/A
36,2021,SBC,1st,76,0
72,2021,OBC,1st,75,0
92,2021,NT-D,1st,44,1
67,2021,SBC,1st,76,0
50,2021,VJ-A,1st,81,0
80,2021,SEBC,1st,#N/A,#N/A
71,2021,Open,1st,85,0
93,2021,NT-D,1st,44,1
80,2021,ST,1st,74,1
80,2021,NT-B,1st,60,1
65,2021,SC,1st,44,1
59,2021,ST,1st,74,0
74,2021,NT-B,1st,60,1
85,2021,SEBC,1st,#N/A,#N/A
74,2021,OBC,1st,75,0
60,2021,VJ-A,1st,81,0
84,2021,EBC,1st,#N/A,#N/A
47,2021,Open,1st,85,0
58,2021,NT-C,1st,77,0
50,2021,SBC,1st,76,0
77,2021,SC,1st,44,1
100,2021,NT-D,1st,44,1
75,2021,SBC,1st,76,0
91,2021,SEBC,1st,#N/A,#N/A
93,2021,EBC,1st,#N/A,#N/A
58,2021,Open,1st,85,0
40,2021,Open,1st,85,0
36,2021,ST,1st,74,0
64,2021,SC,1st,44,1
48,2021,SC,1st,44,1
80,2021,SEBC,1st,#N/A,#N/A
95,2021,VJ-A,1st,81,1
92,2021,Open,1st,85,1
85,2021,OBC,1st,75,1
53,2021,SBC,1st,76,0
83,2021,VJ-A,1st,81,1
72,2021,NT-C,1st,77,0
75,2021,ST,1st,74,1
96,2021,VJ-A,1st,81,1
84,2021,SEBC,1st,#N/A,#N/A
75,2021,VJ-A,1st,81,0
98,2021,ST,1st,74,1
62,2021,NT-D,1st,44,1
79,2021,SC,1st,44,1
90,2021,ST,1st,74,1
49,2021,SEBC,1st,#N/A,#N/A
60,2021,EBC,1st,#N/A,#N/A
94,2021,SBC,1st,76,1
47,2021,NT-D,1st,44,1
93,2021,VJ-A,1st,81,1
71,2021,NT-D,1st,44,1
39,2021,OBC,1st,75,0
100,2021,ST,1st,74,1
95,2021,EBC,1st,#N/A,#N/A
82,2021,SBC,1st,76,1
45,2021,SC,1st,44,1
66,2021,OBC,1st,75,0
85,2021,SC,1st,44,1
73,2021,SC,1st,44,1
91,2021,NT-D,1st,44,1
54,2021,VJ-A,1st,81,0
100,2021,NT-C,1st,77,1
94,2021,VJ-A,1st,81,1
61,2021,Open,1st,85,0
75,2021,SEBC,1st,#N/A,#N/A
89,2021,ST,1st,74,1
91,2021,SEBC,1st,#N/A,#N/A
73,2021,Open,1st,85,0
79,2021,NT-B,1st,60,1
92,2021,Open,1st,85,1
60,2021,SEBC,1st,#N/A,#N/A
84,2021,VJ-A,1st,81,1
72,2021,NT-B,1st,60,1
75,2021,SBC,1st,76,0
63,2021,SEBC,1st,#N/A,#N/A
63,2021,ST,1st,74,0
58,2021,SC,1st,44,1
51,2021,Open,1st,85,0
40,2021,NT-D,1st,44,0
42,2021,VJ-A,1st,81,0
76,2021,VJ-A,1st,81,0
90,2021,ST,1st,74,1
85,2021,NT-D,1st,44,1
70,2021,VJ-A,1st,81,0
48,2021,SEBC,1st,#N/A,#N/A
98,2021,SC,1st,44,1
46,2021,SEBC,1st,#N/A,#N/A
67,2021,Open,1st,85,0
40,2021,Open,1st,85,0
87,2021,NT-C,1st,77,1
53,2021,Open,1st,85,0
39,2021,NT-C,1st,77,0
93,2021,EBC,1st,#N/A,#N/A
85,2021,NT-D,1st,44,1
91,2021,OBC,1st,75,1
60,2021,NT-C,1st,77,0
59,2021,Open,1st,85,0
97,2021,EBC,1st,#N/A,#N/A
76,2021,NT-B,1st,60,1
71,2021,SBC,1st,76,0
40,2021,SC,1st,44,0
54,2021,VJ-A,1st,81,0
68,2021,OBC,1st,75,0
60,2021,EBC,1st,#N/A,#N/A
59,2021,Open,1st,85,0
56,2021,SEBC,1st,#N/A,#N/A
85,2021,NT-D,1st,44,1
78,2021,OBC,1st,75,1
41,2021,SBC,1st,76,0
39,2021,EBC,1st,#N/A,#N/A
62,2021,NT-B,1st,60,1
92,2021,ST,1st,74,1
38,2021,NT-D,1st,44,0
67,2021,ST,1st,74,0
96,2021,ST,1st,74,1
40,2021,NT-C,1st,77,0
81,2021,Open,1st,85,0
49,2021,NT-C,1st,77,0
58,2021,SBC,1st,76,0
63,2021,ST,1st,74,0
98,2021,ST,1st,74,1
96,2021,SC,1st,44,1
56,2021,ST,1st,74,0
80,2021,Open,1st,85,0
36,2021,SEBC,1st,#N/A,#N/A
56,2021,Open,1st,85,0
46,2021,NT-D,1st,44,1
35,2021,OBC,1st,75,0
68,2021,ST,1st,74,0
77,2021,NT-D,1st,44,1
96,2021,NT-B,1st,60,1
44,2021,ST,1st,74,0
100,2021,EBC,1st,#N/A,#N/A
88,2021,EBC,1st,#N/A,#N/A
98,2021,ST,1st,74,1
65,2021,NT-D,1st,44,1
80,2021,SC,1st,44,1
71,2021,NT-C,1st,77,0
88,2021,NT-C,1st,77,1
69,2021,ST,1st,74,0
85,2021,Open,1st,85,0
82,2021,NT-C,1st,77,1
45,2021,NT-B,1st,60,0
47,2021,NT-B,1st,60,0
83,2021,Open,1st,85,0
93,2021,SC,1st,44,1
66,2021,SEBC,1st,#N/A,#N/A
46,2021,VJ-A,1st,81,0
59,2021,EBC,1st,#N/A,#N/A
63,2021,SBC,1st,76,0
99,2021,SC,1st,44,1
96,2021,SEBC,1st,#N/A,#N/A
71,2021,NT-B,1st,60,1
55,2021,NT-C,1st,77,0
56,2021,SC,1st,44,1
55,2021,OBC,1st,75,0
88,2021,VJ-A,1st,81,1
43,2021,OBC,1st,75,0
65,2021,NT-D,1st,44,1
77,2021,NT-D,1st,44,1
60,2021,VJ-A,1st,81,0
41,2021,EBC,1st,#N/A,#N/A
86,2021,OBC,1st,75,1
58,2021,SC,1st,44,1
69,2021,NT-C,1st,77,0
93,2021,ST,1st,74,1
81,2021,OBC,1st,75,1
75,2021,EBC,1st,#N/A,#N/A
38,2021,VJ-A,1st,81,0
39,2021,NT-B,1st,60,0
48,2021,VJ-A,1st,81,0
58,2021,OBC,1st,75,0
81,2021,NT-B,1st,60,1
70,2021,EBC,1st,#N/A,#N/A
97,2021,SBC,1st,76,1
82,2021,OBC,1st,75,1
61,2021,NT-B,1st,60,1
47,2021,EBC,1st,#N/A,#N/A
95,2021,Open,1st,85,1
76,2021,SEBC,1st,#N/A,#N/A
82,2021,SEBC,1st,#N/A,#N/A
98,2021,NT-D,1st,44,1
79,2021,SC,1st,44,1
92,2021,SC,1st,44,1
75,2021,SC,1st,44,1
56,2021,SEBC,1st,#N/A,#N/A
99,2021,SEBC,1st,#N/A,#N/A
60,2021,SBC,1st,76,0
81,2021,SC,1st,44,1
96,2021,NT-D,1st,44,1
52,2021,Open,1st,85,0
58,2021,NT-C,1st,77,0
87,2021,NT-C,1st,77,1
51,2021,EBC,1st,#N/A,#N/A
43,2021,EBC,1st,#N/A,#N/A
98,2021,OBC,1st,75,1
35,2021,SBC,1st,76,0
70,2021,SBC,1st,76,0
55,2021,SBC,1st,76,0
83,2021,SBC,1st,76,1
92,2021,NT-C,1st,77,1
39,2021,NT-C,1st,77,0
97,2021,SC,1st,44,1
91,2021,VJ-A,1st,81,1
51,2021,SEBC,1st,#N/A,#N/A
35,2021,SC,1st,44,0
43,2021,SEBC,1st,#N/A,#N/A
59,2021,SEBC,1st,#N/A,#N/A
55,2021,SEBC,1st,#N/A,#N/A
58,2021,SBC,1st,76,0
67,2021,SBC,1st,76,0
61,2021,NT-B,1st,60,1
41,2021,OBC,1st,75,0
50,2021,ST,1st,74,0
64,2021,SBC,1st,76,0
89,2021,ST,1st,74,1
52,2021,VJ-A,1st,81,0
77,2021,Open,1st,85,0
44,2021,NT-C,1st,77,0
69,2021,VJ-A,1st,81,0
71,2021,ST,1st,74,0
54,2021,NT-D,1st,44,1
71,2021,SBC,1st,76,0
56,2021,SC,1st,44,1
58,2021,NT-D,1st,44,1
63,2021,ST,1st,74,0
37,2021,VJ-A,1st,81,0
35,2021,NT-B,1st,60,0
75,2021,NT-B,1st,60,1
40,2021,EBC,1st,#N/A,#N/A
78,2021,NT-B,1st,60,1
89,2021,VJ-A,1st,81,1
59,2021,NT-D,1st,44,1
73,2021,Open,1st,85,0
49,2021,VJ-A,1st,81,0
55,2021,Open,1st,85,0
37,2021,NT-B,1st,60,0
90,2021,SC,1st,44,1
85,2021,NT-D,1st,44,1
81,2021,OBC,1st,75,1
61,2021,SC,1st,44,1
53,2021,SC,1st,44,1
83,2021,ST,1st,74,1
87,2021,ST,1st,74,1
50,2021,SBC,1st,76,0
67,2021,VJ-A,1st,81,0
37,2021,OBC,1st,75,0
65,2021,SBC,1st,76,0
70,2021,SBC,1st,76,0
86,2021,SEBC,1st,#N/A,#N/A
47,2021,Open,1st,85,0
69,2021,VJ-A,1st,81,0
65,2021,VJ-A,1st,81,0
36,2021,VJ-A,1st,81,0
82,2021,NT-B,1st,60,1
83,2021,SBC,1st,76,1
78,2021,Open,1st,85,0
71,2021,NT-C,1st,77,0
53,2021,NT-C,1st,77,0
36,2021,SEBC,1st,#N/A,#N/A
41,2021,NT-C,1st,77,0
38,2021,NT-B,1st,60,0
64,2021,SEBC,1st,#N/A,#N/A
99,2021,SBC,1st,76,1
75,2021,OBC,1st,75,0
58,2021,EBC,1st,#N/A,#N/A
83,2021,ST,1st,74,1
76,2021,OBC,1st,75,1
83,2021,VJ-A,1st,81,1
71,2021,SBC,1st,76,0
84,2021,SBC,1st,76,1
62,2021,SC,1st,44,1
90,2021,OBC,1st,75,1
94,2021,OBC,1st,75,1
68,2021,EBC,1st,#N/A,#N/A
91,2021,SBC,1st,76,1
69,2021,SEBC,1st,#N/A,#N/A
40,2021,SBC,1st,76,0
97,2021,NT-C,1st,77,1
84,2021,SEBC,1st,#N/A,#N/A
54,2021,VJ-A,1st,81,0
95,2021,SC,1st,44,1
68,2021,SEBC,1st,#N/A,#N/A
69,2021,EBC,1st,#N/A,#N/A
54,2021,OBC,1st,75,0
55,2021,SBC,1st,76,0
43,2021,ST,1st,74,0
83,2021,SC,1st,44,1
87,2021,EBC,1st,#N/A,#N/A
83,2021,NT-C,1st,77,1
95,2021,Open,1st,85,1
44,2021,SBC,1st,76,0
88,2021,Open,1st,85,1
76,2021,NT-C,1st,77,0
45,2021,SBC,1st,76,0
79,2021,SEBC,1st,#N/A,#N/A
67,2021,SC,1st,44,1
46,2021,NT-D,1st,44,1
38,2021,NT-D,1st,44,0
62,2021,VJ-A,1st,81,0
79,2021,VJ-A,1st,81,0
69,2021,SEBC,1st,#N/A,#N/A
100,2021,NT-C,1st,77,1
57,2021,NT-D,1st,44,1
50,2021,VJ-A,1st,81,0
89,2021,ST,1st,74,1
87,2021,Open,1st,85,1
99,2021,NT-D,1st,44,1
48,2021,VJ-A,1st,81,0
81,2021,VJ-A,1st,81,0
100,2021,ST,1st,74,1
75,2021,EBC,1st,#N/A,#N/A
59,2021,EBC,1st,#N/A,#N/A
49,2021,NT-B,1st,60,0
81,2021,Open,1st,85,0
44,2021,NT-C,1st,77,0
83,2021,VJ-A,1st,81,1
60,2021,NT-D,1st,44,1
95,2021,ST,1st,74,1
91,2021,NT-C,1st,77,1
49,2021,Open,1st,85,0
49,2021,NT-D,1st,44,1
45,2021,NT-D,1st,44,1
57,2021,SBC,1st,76,0
51,2021,NT-C,1st,77,0
42,2021,SC,1st,44,0
44,2021,Open,1st,85,0
55,2021,Open,1st,85,0
61,2021,OBC,1st,75,0
44,2021,NT-B,1st,60,0
89,2021,NT-C,1st,77,1
58,2021,NT-C,1st,77,0
86,2021,ST,1st,74,1
39,2021,SC,1st,44,0
47,2021,ST,1st,74,0
37,2021,ST,1st,74,0
75,2021,SC,1st,44,1
79,2021,NT-D,1st,44,1
68,2021,NT-D,1st,44,1
70,2021,NT-B,1st,60,1
53,2021,NT-C,1st,77,0
39,2021,Open,1st,85,0
95,2021,ST,1st,74,1
72,2021,SEBC,1st,#N/A,#N/A
60,2021,EBC,1st,#N/A,#N/A
36,2021,NT-C,1st,77,0
52,2021,SC,1st,44,1
80,2021,SBC,1st,76,1
62,2021,OBC,1st,75,0
90,2021,NT-B,1st,60,1
57,2021,NT-D,1st,44,1
80,2021,NT-B,1st,60,1
96,2021,NT-C,1st,77,1
75,2021,SEBC,1st,#N/A,#N/A
45,2021,NT-C,1st,77,0
74,2021,SC,1st,44,1
100,2021,SC,1st,44,1
100,2021,NT-D,1st,44,1
63,2021,ST,1st,74,0
97,2021,SC,1st,44,1
62,2021,OBC,1st,75,0
97,2021,SEBC,1st,#N/A,#N/A
60,2021,SBC,1st,76,0
85,2021,VJ-A,1st,81,1
85,2021,OBC,1st,75,1
62,2021,NT-C,1st,77,0
54,2021,NT-C,1st,77,0
99,2021,OBC,1st,75,1
97,2021,SEBC,1st,#N/A,#N/A
57,2021,NT-D,1st,44,1
81,2021,SC,1st,44,1
96,2021,OBC,1st,75,1
50,2021,NT-D,1st,44,1
73,2021,EBC,1st,#N/A,#N/A
83,2021,SC,1st,44,1
81,2021,SC,1st,44,1
100,2021,OBC,1st,75,1
75,2021,SBC,1st,76,0
96,2021,EBC,1st,#N/A,#N/A
91,2021,SC,1st,44,1
85,2021,NT-D,1st,44,1
100,2021,OBC,1st,75,1
70,2021,ST,1st,74,0
61,2021,SEBC,1st,#N/A,#N/A
67,2021,SC,1st,44,1
51,2021,OBC,1st,75,0
72,2021,OBC,1st,75,0
37,2021,SC,1st,44,0
58,2021,VJ-A,1st,81,0
62,2021,NT-C,1st,77,0
74,2021,SC,1st,44,1
48,2021,VJ-A,1st,81,0
95,2021,NT-B,1st,60,1
84,2021,NT-B,1st,60,1
81,2021,NT-B,1st,60,1
86,2021,NT-B,1st,60,1
50,2021,EBC,1st,#N/A,#N/A
91,2021,EBC,1st,#N/A,#N/A
42,2021,VJ-A,1st,81,0
43,2021,SBC,1st,76,0
84,2021,SEBC,1st,#N/A,#N/A
48,2021,OBC,1st,75,0
80,2021,EBC,1st,#N/A,#N/A
39,2021,ST,1st,74,0
54,2021,VJ-A,1st,81,0
65,2021,NT-C,1st,77,0
95,2021,ST,1st,74,1
38,2021,SC,1st,44,0
74,2021,NT-D,1st,44,1
84,2021,ST,1st,74,1
80,2021,NT-C,1st,77,1
63,2021,VJ-A,1st,81,0
82,2021,Open,1st,85,0
42,2021,SEBC,1st,#N/A,#N/A
67,2021,NT-D,1st,44,1
57,2021,NT-D,1st,44,1
95,2021,NT-B,1st,60,1
94,2021,SBC,1st,76,1
44,2021,EBC,1st,#N/A,#N/A
87,2021,VJ-A,1st,81,1
73,2021,NT-B,1st,60,1
82,2021,SBC,1st,76,1
85,2021,SC,1st,44,1
77,2021,NT-D,1st,44,1
36,2021,NT-D,1st,44,0
95,2021,Open,1st,85,1
69,2021,NT-D,1st,44,1
46,2021,VJ-A,1st,81,0
54,2021,VJ-A,1st,81,0
39,2021,OBC,1st,75,0
45,2021,NT-B,1st,60,0
67,2021,SBC,1st,76,0
97,2021,SEBC,1st,#N/A,#N/A
65,2021,NT-B,1st,60,1
79,2021,NT-B,1st,60,1
46,2021,NT-D,1st,44,1
63,2021,SC,1st,44,1
98,2021,NT-C,1st,77,1
82,2021,NT-B,1st,60,1
45,2021,VJ-A,1st,81,0
66,2021,NT-B,1st,60,1
41,2021,SC,1st,44,0
57,2021,SEBC,1st,#N/A,#N/A
84,2021,Open,1st,85,0
68,2021,SBC,1st,76,0
73,2021,OBC,1st,75,0
74,2021,NT-C,1st,77,0
61,2021,NT-B,1st,60,1
62,2021,NT-B,1st,60,1
52,2021,NT-D,1st,44,1
77,2021,NT-C,1st,77,0
57,2021,EBC,1st,#N/A,#N/A
98,2021,NT-D,1st,44,1
67,2021,SEBC,1st,#N/A,#N/A
68,2021,EBC,2nd,#N/A,#N/A
44,2021,NT-C,2nd,77,0
